timestamp,open,high,low,close,volume
2021-12-09,50454.79,50786.92,47327.94,47564.26,3403568.299
2021-12-10,47563.32,50037.68,46910.0,47169.17,3184870.689
2021-12-11,47173.33,49690.0,46805.1,49313.29,2125829.39
2021-12-12,49314.29,50757.84,40186.21,50076.89,1770492.654
2021-12-13,50073.9,50182.94,42526.85,46671.84,2742715.322
2021-12-14,46672.77,48644.81,46314.01,48361.16,3176523.609
2021-12-15,48359.96,49477.83,46539.41,48861.36,2847440.662
2021-12-16,48859.08,49418.61,47533.6,47625.55,2168409.122
2021-12-17,47626.51,54000.0,41006.51,46156.18,2453179.252
2021-12-18,46156.97,47308.89,45510.19,46833.63,2094936.691
2021-12-19,46833.63,48256.89,46402.36,46682.8,2252926.179
2021-12-20,46684.11,48277.32,45568.83,46881.1,3306424.096
2021-12-21,46889.78,49310.7,46200.09,48894.77,2537490.229
2021-12-22,48893.39,49540.34,48444.43,48595.94,2278248.602
2021-12-23,48595.93,51500.0,48043.33,50766.97,1859324.052
2021-12-24,50764.97,61348.81,45225.78,50781.09,2042115.203
2021-12-25,50783.05,51117.7,50193.66,50463.79,1213788.971
2021-12-26,50463.79,53033.5,45134.89,50762.52,1338793.92
2021-12-27,50764.01,52066.93,50447.1,50685.25,2295224.261
2021-12-28,50681.9,50819.11,47320.76,47540.03,2766031.362
2021-12-29,47536.75,48132.98,46101.59,46471.75,2730677.66
2021-12-30,46470.6,47903.8,45979.8,47124.67,2149346.73
2021-12-31,47122.07,48551.78,45677.5,46223.93,2492800.554
2022-01-01,46221.98,47910.31,46109.79,47749.49,1175450.276
2022-01-02,47750.44,49695.57,46670.4,47294.12,1853122.294
2022-01-03,47294.13,47554.99,45741.79,46434.11,1618351.999
2022-01-04,46434.21,52489.04,45577.75,45871.05,1955933.632
2022-01-05,45870.12,50827.35,42464.13,43408.83,2702478.914
2022-01-06,43407.51,43767.87,42434.73,43089.59,3216221.915
2022-01-07,43089.43,43140.37,40624.81,41804.66,3083129.516
2022-01-08,41803.81,46700.0,40550.01,41672.13,3072546.728
2022-01-09,41680.03,42778.67,41255.48,41852.44,2648366.241
2022-01-10,41852.59,54748.5,28000.0,41839.4,685204.429
2022-01-11,41835.1,53605.6,30000.0,45085.0,248537.754
2022-01-12,45944.5,55676.7,30000.0,43892.7,219605.601
2022-01-13,43904.0,56537.1,29774.4,42596.9,212657.825
2022-01-14,42561.1,55347.4,29760.0,43063.0,213500.907
2022-01-15,43063.5,55764.5,30218.3,43081.0,189894.9
2022-01-16,43076.5,56136.6,30186.1,43070.2,190167.382
2022-01-17,43066.5,55427.1,30000.0,42180.0,228122.335
2022-01-18,42208.0,54686.0,32000.0,42374.3,233906.465
2022-01-19,42374.3,54562.5,29902.4,41652.2,232629.684
2022-01-20,41659.0,54320.0,29520.3,40710.5,230678.494
2022-01-21,40710.5,52033.2,27185.0,36479.5,299116.151
2022-01-22,36477.3,44600.0,26878.8,35058.8,326500.412
2022-01-23,35425.0,40500.0,29419.4,36262.2,274166.122
2022-01-24,36265.1,42513.5,31000.0,36694.4,330857.411
2022-01-25,36684.7,42438.8,30000.0,36937.9,309294.21
2022-01-26,36947.4,45387.3,32000.0,36793.3,283785.313
2022-01-27,36793.3,47724.8,30000.0,37159.1,298995.458
